geo_id,ai_autonomy_mean,ai_education_years_mean,artifact_academic_paper_or_thesis_pct,artifact_advice_or_recommendation_pct,artifact_analysis_or_summary_pct,artifact_app_or_website_pct,artifact_audio_or_music_pct,artifact_blog_or_article_pct,artifact_chart_or_visualization_pct,artifact_code_fix_or_debug_pct,artifact_config_or_infra_pct,artifact_creative_writing_pct,artifact_data_or_spreadsheet_pct,artifact_document_or_report_pct,artifact_educational_material_pct,artifact_email_or_message_pct,artifact_explanation_or_answer_pct,artifact_game_or_interactive_pct,artifact_idea_or_brainstorm_pct,artifact_image_or_graphic_pct,artifact_marketing_or_social_content_pct,artifact_math_or_calculation_pct,artifact_ml_or_ai_system_pct,artifact_none_pct,artifact_other_pct,artifact_plan_or_strategy_pct,artifact_presentation_or_slides_pct,artifact_recipe_or_meal_plan_pct,artifact_resume_or_job_application_pct,artifact_script_or_snippet_pct,artifact_sql_or_database_query_pct,artifact_translation_pct,artifact_ui_or_design_mockup_pct,artifact_video_or_animation_pct,collaboration_bucket_augmentation_pct,collaboration_bucket_automation_pct,collaboration_directive_pct,collaboration_feedback_loop_pct,collaboration_learning_pct,collaboration_none_pct,collaboration_task_iteration_pct,collaboration_validation_pct,human_education_years_mean,human_only_ability_pct,human_only_time_mean,human_with_ai_time_mean,multitasking_pct,usage_pct,usage_per_capita_index,use_case_coursework_pct,use_case_personal_pct,use_case_work_pct,wave
DC,2.67,13.06,1.49,13.25,6.94,2.32,0.0,0.83,2.01,1.73,0.89,1.46,2.84,16.36,2.08,6.63,16.63,0.37,0.7,0.62,1.98,1.41,0.24,6.44,0.15,3.71,1.65,0.91,3.11,1.93,0.31,0.32,0.52,0.18,54.48,45.52,31.66,12.69,16.15,2.59,33.2,3.71,12.68,93.52,4.38,41.51,25.79,0.76,3.32,12.9,42.68,44.42,2026-05
DE,2.69,11.92,1.02,16.83,5.65,3.22,0.04,0.67,1.22,1.84,1.1,2.43,2.24,12.99,1.33,5.26,20.67,0.39,0.9,0.43,2.12,1.49,0.24,6.51,0.12,4.16,1.1,0.78,1.41,2.08,0.47,0.51,0.67,0.12,48.78,51.22,31.48,17.99,17.08,3.42,26.13,3.9,11.17,92.15,4.2,39.61,24.13,0.31,1.05,8.91,55.22,35.87,2026-05
FL,2.75,12.22,0.34,14.14,5.93,4.13,0.02,0.42,1.45,2.2,1.42,1.52,3.08,15.34,1.37,6.31,15.81,0.36,0.77,0.99,3.2,1.15,0.35,7.18,0.13,4.83,1.3,0.84,1.71,2.16,0.29,0.29,0.77,0.2,47.26,52.74,33.4,17.89,14.55,2.74,28.65,2.77,11.43,89.79,4.59,40.6,27.44,7.01,1.05,5.51,46.61,47.88,2026-05
GA,2.74,12.17,0.6,14.28,5.76,3.84,0.04,0.38,1.61,2.09,1.39,1.93,2.87,14.27,1.63,6.12,16.97,0.37,0.76,0.87,2.63,1.24,0.27,6.84,0.16,4.85,1.64,0.89,2.22,2.05,0.29,0.28,0.7,0.18,48.8,51.2,32.53,17.24,15.51,2.8,28.96,2.97,11.48,91.52,4.6,41.86,27.06,3.12,0.93,6.98,49.81,43.21,2026-05
HI,2.72,12.12,0.63,15.12,6.42,2.94,0.05,0.44,1.84,1.59,1.12,2.28,2.91,15.64,1.43,6.69,16.98,0.25,0.52,0.58,3.13,1.32,0.25,7.02,0.14,4.69,1.1,0.66,1.02,2.03,0.14,0.27,0.66,0.16,49.94,50.06,32.3,16.11,16.33,3.28,29.21,2.76,11.52,92.62,4.23,41.67,28.59,0.45,1.14,6.72,50.88,42.4,2026-05
IA,2.71,12.35,0.91,13.97,5.77,3.63,0.0,0.45,1.39,2.62,1.85,2.37,2.53,14.13,2.62,4.31,19.51,0.52,0.94,0.71,2.33,1.59,0.19,6.42,0.1,3.79,1.49,1.0,1.46,1.88,0.52,0.23,0.65,0.13,47.99,52.01,32.27,18.25,16.85,2.86,26.06,3.71,11.78,91.6,4.01,39.95,24.21,0.38,0.41,14.61,47.73,37.65,2026-05
ID,2.74,12.19,0.19,14.49,5.79,4.13,0.06,0.56,1.53,1.94,1.78,2.16,3.22,15.99,1.25,4.97,16.68,0.34,0.69,0.69,3.47,1.35,0.25,6.48,0.09,4.29,1.03,1.25,1.41,2.41,0.41,0.16,0.78,0.16,48.31,51.69,32.73,17.74,15.17,2.36,28.99,3.02,11.53,91.39,4.39,44.7,27.54,0.39,0.68,6.76,48.76,44.48,2026-05
IL,2.69,12.27,0.74,15.7,5.85,3.15,0.03,0.44,1.6,2.31,1.18,1.41,2.67,12.92,1.83,5.71,18.62,0.36,0.86,0.62,2.11,1.76,0.26,7.07,0.25,4.25,1.54,0.94,2.3,2.21,0.26,0.36,0.61,0.12,51.42,48.58,30.9,16.11,17.55,3.22,28.7,3.51,11.6,92.58,4.14,41.11,25.81,3.79,1.0,11.49,50.62,37.89,2026-05
IN,2.72,11.98,0.84,13.99,5.14,3.05,0.01,0.34,1.4,2.7,1.32,1.94,2.46,13.53,2.14,5.01,18.04,0.59,0.79,0.89,2.63,1.72,0.24,10.41,0.12,3.52,1.24,0.79,1.91,2.1,0.31,0.21,0.51,0.11,49.97,50.03,30.33,16.35,16.25,6.69,27.06,3.32,11.25,92.34,4.12,40.54,25.01,1.23,0.61,11.5,51.29,37.21,2026-05
KS,2.7,11.95,0.75,15.07,5.11,4.18,0.0,0.39,1.2,2.02,1.14,2.56,2.98,13.02,1.68,5.2,20.0,0.36,0.69,0.78,2.17,1.32,0.33,6.98,0.12,3.94,1.05,0.78,2.2,2.26,0.51,0.36,0.75,0.09,49.46,50.54,30.97,18.03,16.74,3.05,28.56,2.65,11.18,91.67,4.44,42.89,25.87,0.41,0.48,9.71,53.07,37.22,2026-05
KY,2.75,12.1,0.5,14.16,6.23,3.66,0.07,0.5,1.05,2.62,1.95,2.86,2.45,13.8,1.4,4.62,17.46,0.88,1.02,1.12,3.21,1.36,0.24,7.23,0.21,4.71,1.09,0.95,1.21,2.28,0.29,0.17,0.59,0.1,46.96,53.04,32.21,19.2,15.52,3.08,26.67,3.32,11.35,90.91,4.53,42.41,24.85,0.51,0.39,6.76,53.2,40.04,2026-05
LA,2.74,12.19,1.01,14.04,5.47,3.83,0.0,0.49,1.44,2.43,1.46,2.22,2.66,14.12,2.03,5.9,18.24,0.47,1.01,1.1,2.14,1.23,0.28,7.06,0.19,4.14,1.08,0.76,1.25,2.64,0.25,0.23,0.72,0.09,48.11,51.89,32.78,17.49,15.75,3.13,27.59,3.26,11.44,90.11,4.49,41.22,26.99,0.64,0.48,8.94,50.4,40.66,2026-05
MA,2.69,12.68,1.33,15.2,6.41,2.84,0.02,0.46,1.78,2.07,1.14,1.33,2.73,13.08,2.01,6.08,18.83,0.37,0.88,0.55,1.71,1.75,0.25,6.54,0.15,4.14,1.59,0.88,2.4,2.31,0.2,0.29,0.57,0.12,53.3,46.7,30.12,15.39,18.67,2.55,29.71,3.56,12.13,92.96,4.25,40.87,25.92,3.05,1.42,12.48,48.46,39.05,2026-05
MD,2.7,12.34,0.78,14.8,5.56,3.29,0.02,0.37,1.58,2.24,1.31,2.0,2.36,14.18,2.16,6.02,17.68,0.31,0.81,0.88,2.32,1.74,0.25,6.32,0.09,4.27,1.61,0.9,2.52,2.43,0.2,0.2,0.65,0.15,51.92,48.08,30.96,15.85,16.88,2.65,30.25,3.41,11.7,92.09,4.53,42.41,26.86,2.0,1.09,10.61,49.56,39.83,2026-05
ME,2.7,12.23,0.52,15.38,6.52,3.33,0.0,0.98,1.74,1.88,1.13,2.35,2.81,13.74,2.06,5.3,18.57,0.47,1.08,0.56,1.83,1.59,0.23,6.52,0.09,4.13,1.22,0.98,1.59,2.06,0.61,0.23,0.47,0.0,50.19,49.81,30.62,17.57,16.91,3.25,28.03,3.63,11.68,92.03,4.28,45.34,27.69,0.26,0.65,8.78,51.34,39.89,2026-05
MI,2.71,12.08,0.64,16.04,5.85,3.64,0.03,0.41,1.41,2.54,1.33,2.15,2.56,13.3,1.4,5.21,18.75,0.47,0.98,0.74,2.39,1.35,0.31,6.44,0.15,4.36,1.08,0.78,1.85,2.47,0.26,0.28,0.66,0.18,49.77,50.23,30.41,18.44,16.67,2.75,28.32,3.41,11.37,91.38,4.24,41.5,26.03,1.81,0.61,6.72,53.28,40.0,2026-05
MN,2.7,11.98,0.58,16.1,5.37,3.19,0.04,0.49,1.73,2.18,1.46,2.07,2.21,12.49,1.51,5.69,19.84,0.43,1.04,0.82,2.2,1.44,0.28,7.2,0.12,4.28,1.14,1.1,1.83,2.11,0.13,0.2,0.63,0.12,50.46,49.54,31.6,16.39,17.3,3.13,28.02,3.56,11.27,92.56,4.07,40.02,25.73,1.37,0.81,7.62,54.14,38.24,2026-05
MO,2.72,12.15,0.57,15.29,5.69,3.52,0.03,0.45,1.32,2.32,1.64,2.41,2.52,13.62,1.56,5.18,17.17,0.58,0.86,0.7,2.56,1.44,0.33,7.25,0.17,4.45,1.35,1.12,2.15,2.37,0.32,0.27,0.62,0.16,48.39,51.61,32.03,18.12,15.93,2.81,27.42,3.68,11.44,91.78,4.26,41.75,25.95,1.26,0.7,6.59,52.6,40.81,2026-05
MS,2.73,12.23,0.66,12.62,5.93,4.75,0.05,0.41,1.84,2.71,1.58,3.22,3.01,15.64,2.55,3.88,15.69,0.56,1.12,1.02,2.15,1.74,0.31,7.61,0.2,4.29,0.97,1.02,1.48,2.35,0.05,0.1,0.46,0.0,47.81,52.19,33.11,17.58,14.81,2.87,28.24,3.38,11.5,90.81,4.66,43.62,25.55,0.24,0.28,9.4,49.51,41.08,2026-05
MT,2.72,12.4,0.45,14.4,6.03,3.11,0.0,0.13,1.82,1.88,1.69,2.27,3.37,17.38,1.17,5.97,16.6,0.71,1.3,0.52,2.92,0.97,0.39,5.64,0.13,3.89,1.36,0.97,1.04,2.33,0.39,0.06,0.71,0.39,49.03,50.97,31.06,18.39,13.84,2.99,30.08,3.64,11.85,91.83,4.32,43.59,26.91,0.19,0.58,5.9,47.99,46.11,2026-05
NC,2.73,12.18,0.56,15.44,5.74,3.67,0.04,0.49,1.58,2.03,1.48,2.02,2.78,14.04,1.68,5.73,16.63,0.44,0.98,0.8,2.69,1.34,0.29,6.8,0.18,4.56,1.33,1.13,2.2,2.03,0.23,0.21,0.67,0.2,48.53,51.47,32.6,17.37,15.78,2.91,28.2,3.14,11.5,91.83,4.46,40.92,26.52,2.85,0.88,7.2,51.3,41.5,2026-05
ND,2.73,12.33,0.86,13.54,6.48,3.89,0.0,0.14,2.02,2.16,1.01,2.45,3.03,13.98,1.3,5.48,15.42,0.43,0.86,1.01,2.31,1.44,0.14,5.62,0.43,4.9,2.02,1.73,2.02,4.03,0.14,0.0,0.86,0.29,51.51,48.49,28.32,18.21,15.32,4.05,30.2,3.9,11.65,90.49,4.47,45.86,27.95,0.09,0.37,11.96,49.71,38.33,2026-05
NE,2.72,11.96,0.84,15.94,6.54,3.4,0.0,0.37,1.35,2.36,1.01,2.22,2.43,13.38,1.35,4.89,18.57,0.57,1.01,0.61,2.63,1.62,0.2,6.91,0.17,4.58,1.31,0.91,1.35,2.22,0.44,0.24,0.57,0.0,48.11,51.89,31.85,18.26,15.35,3.45,27.62,3.48,11.22,91.6,4.26,43.04,25.43,0.36,0.63,7.32,54.72,37.96,2026-05
NH,2.72,12.5,0.91,14.87,6.57,3.47,0.1,0.44,1.69,2.23,1.21,1.62,2.02,14.67,2.02,5.33,18.31,0.34,0.74,0.67,2.53,1.62,0.27,6.37,0.0,4.35,1.15,0.88,1.79,2.33,0.37,0.4,0.67,0.07,49.49,50.51,32.54,16.66,16.12,2.58,28.94,3.16,11.89,92.65,4.05,39.18,26.58,0.36,0.88,12.14,47.84,40.02,2026-05
NJ,2.72,12.43,0.78,14.99,6.17,3.55,0.03,0.43,1.78,2.05,1.19,1.37,2.98,13.66,1.98,6.29,17.19,0.33,0.69,0.79,2.2,1.4,0.32,6.78,0.14,4.54,1.64,0.74,2.43,2.11,0.3,0.37,0.64,0.12,51.03,48.97,31.97,15.85,17.13,2.34,29.44,3.27,11.72,91.83,4.36,40.2,26.24,2.85,1.02,9.79,48.55,41.66,2026-05
NM,2.71,12.51,1.1,14.0,6.02,3.34,0.04,0.45,1.67,2.73,1.87,2.03,2.24,15.99,1.46,4.72,18.39,0.33,0.73,0.81,2.52,1.51,0.33,6.71,0.16,3.99,1.42,1.06,1.14,2.24,0.16,0.37,0.45,0.04,49.62,50.38,30.5,18.25,16.21,3.23,27.97,3.84,11.93,91.25,4.61,47.79,26.48,0.3,0.49,8.75,52.89,38.36,2026-05
NV,2.72,12.33,0.97,14.61,5.95,3.84,0.02,0.58,1.61,2.49,1.33,2.07,2.13,14.65,1.3,5.29,17.0,0.37,0.83,0.77,2.96,1.19,0.33,7.08,0.17,5.17,1.2,0.83,1.3,2.25,0.46,0.41,0.61,0.24,48.37,51.63,31.87,18.25,16.06,2.92,28.01,2.89,11.65,90.13,4.7,44.82,27.07,1.1,1.13,7.81,48.98,43.21,2026-05
NY,2.69,12.39,0.94,15.99,6.26,2.92,0.02,0.45,1.63,1.71,1.0,1.46,2.87,13.08,1.99,6.72,18.12,0.31,0.8,0.67,2.19,1.53,0.25,6.71,0.19,4.17,1.63,0.87,2.15,1.95,0.25,0.41,0.62,0.14,53.1,46.9,30.71,14.9,18.03,2.75,30.07,3.54,11.74,92.74,4.09,39.88,25.81,9.08,1.55,10.48,49.31,40.21,2026-05
OH,2.72,12.14,0.77,15.24,5.34,4.23,0.04,0.42,1.6,2.26,1.28,2.46,2.7,12.83,1.71,5.36,18.15,0.5,0.94,0.92,2.32,1.33,0.21,6.82,0.16,4.51,1.34,1.01,1.73,2.26,0.36,0.28,0.75,0.16,49.22,50.78,31.65,17.62,16.61,2.99,28.06,3.08,11.45,91.53,4.43,41.36,25.46,2.02,0.59,7.29,52.75,39.95,2026-05
OK,2.74,12.04,0.56,15.22,5.94,3.6,0.04,0.48,1.36,2.58,1.74,2.81,2.56,13.77,1.86,4.38,18.18,0.48,1.14,0.74,2.3,1.43,0.21,7.34,0.12,4.22,0.77,1.2,1.51,2.17,0.37,0.17,0.68,0.08,47.46,52.54,32.41,18.4,16.25,3.29,26.38,3.27,11.32,91.92,4.39,42.26,24.73,0.63,0.53,7.42,54.0,38.58,2026-05
OR,2.67,12.14,0.48,15.77,5.95,2.83,0.02,0.44,1.39,2.31,1.14,2.03,2.42,14.49,1.46,5.36,19.81,0.39,0.93,0.69,2.32,1.64,0.22,6.9,0.11,3.89,1.18,1.11,1.5,2.21,0.17,0.26,0.44,0.13,50.88,49.12,30.75,17.0,17.9,2.81,28.41,3.14,11.53,93.15,3.98,42.1,26.4,1.39,1.1,9.3,52.87,37.82,2026-05
PA,2.7,12.28,0.98,15.36,5.72,3.5,0.03,0.45,1.65,2.34,1.21,1.98,2.64,12.89,1.87,5.6,18.75,0.47,0.82,0.76,2.1,1.5,0.24,6.38,0.15,4.57,1.49,0.97,1.95,2.16,0.27,0.32,0.75,0.13,51.2,48.8,30.45,16.99,17.55,2.78,28.81,3.42,11.58,92.06,4.28,42.32,26.04,3.01,0.8,10.18,51.75,38.07,2026-05
RI,2.7,12.64,1.96,13.55,6.24,3.47,0.0,0.54,1.77,2.08,0.96,1.89,2.5,12.51,2.35,5.43,18.56,0.46,0.89,0.5,1.58,2.31,0.19,6.24,0.31,4.51,1.58,0.65,2.81,2.7,0.12,0.35,0.89,0.12,51.15,48.85,30.96,16.62,16.74,2.6,29.79,3.29,12.07,92.53,4.28,43.85,26.83,0.32,0.96,13.55,46.28,40.16,2026-05
SC,2.76,12.23,0.46,13.9,6.64,3.87,0.03,0.54,1.5,2.41,1.44,2.18,2.81,15.15,1.52,6.4,16.31,0.41,0.86,0.83,2.93,0.97,0.32,6.94,0.14,4.54,1.21,0.87,1.58,2.03,0.23,0.12,0.72,0.14,46.5,53.5,34.09,17.92,13.47,2.79,28.74,2.99,11.59,90.7,4.56,40.55,26.21,0.8,0.51,5.28,47.67,47.05,2026-05
SD,2.71,12.25,0.38,12.75,6.69,3.28,0.0,0.76,1.52,2.15,1.64,1.26,3.03,15.28,0.51,5.18,17.68,0.88,0.51,0.88,3.41,1.01,0.0,8.96,0.25,3.66,0.76,0.63,1.77,4.42,0.51,0.0,0.25,0.0,46.09,53.91,33.38,18.08,14.79,4.55,25.66,3.54,11.66,91.55,4.09,39.94,25.13,0.1,0.37,8.45,45.78,45.78,2026-05
TN,2.73,12.1,0.42,14.94,6.11,3.69,0.03,0.43,1.45,2.23,1.35,2.15,2.9,14.77,1.24,5.44,17.19,0.42,0.97,0.73,2.85,1.35,0.38,7.36,0.13,4.16,1.24,1.03,1.52,2.09,0.35,0.22,0.7,0.18,47.24,52.76,33.39,17.82,14.68,2.94,27.9,3.28,11.42,91.82,4.32,40.46,25.9,1.46,0.69,5.77,50.67,43.56,2026-05
TX,2.73,12.23,0.47,15.1,5.77,3.55,0.02,0.38,1.69,2.11,1.39,1.65,3.03,14.15,1.71,5.83,17.14,0.37,0.8,0.77,2.4,1.38,0.36,6.75,0.13,4.68,1.43,0.88,2.37,2.19,0.33,0.3,0.69,0.16,48.93,51.07,32.38,17.25,16.22,2.8,28.25,3.09,11.5,91.18,4.49,41.19,26.98,8.91,0.95,7.18,49.66,43.16,2026-05
UT,2.73,12.12,0.27,14.99,6.08,3.62,0.06,0.32,1.43,1.87,1.48,1.61,3.32,14.69,1.25,6.0,17.96,0.36,0.96,0.6,2.59,0.93,0.32,7.49,0.15,4.46,1.17,1.22,1.21,2.24,0.4,0.22,0.57,0.15,48.13,51.87,33.31,17.18,16.63,2.66,27.27,2.94,11.47,92.44,4.07,38.94,25.04,1.28,1.21,4.88,50.85,44.27,2026-05
VA,2.7,12.41,0.79,14.79,5.78,3.45,0.03,0.54,1.76,2.21,1.31,1.91,2.61,14.35,1.86,5.56,17.45,0.37,0.84,0.72,2.08,1.63,0.27,6.62,0.19,4.43,1.6,0.89,2.25,2.23,0.3,0.34,0.7,0.15,50.63,49.37,31.25,16.83,16.28,2.62,29.49,3.54,11.78,92.32,4.42,41.35,26.25,2.76,1.07,10.28,49.59,40.13,2026-05
VT,2.66,12.58,1.65,15.45,6.75,2.93,0.0,0.45,1.58,2.25,1.28,1.43,2.93,16.8,1.05,5.4,17.18,0.53,0.38,0.15,1.58,1.35,0.23,6.83,0.38,3.6,1.58,0.9,1.58,2.7,0.23,0.3,0.53,0.08,49.46,50.54,33.38,15.94,15.56,2.41,29.62,3.08,12.11,92.94,4.13,42.42,25.51,0.16,0.87,11.25,47.64,41.11,2026-05
WA,2.68,12.25,0.47,16.27,5.99,2.59,0.02,0.51,1.7,2.18,1.37,1.57,2.28,13.25,1.43,5.36,20.04,0.35,0.92,0.65,1.69,1.53,0.27,6.94,0.24,4.29,1.29,1.16,2.04,2.29,0.26,0.3,0.58,0.17,51.92,48.08,29.99,16.69,19.15,2.91,27.72,3.55,11.6,93.64,3.82,41.22,26.0,3.57,1.51,9.5,54.28,36.22,2026-05
WI,2.7,12.14,0.75,15.77,5.5,2.94,0.02,0.51,1.6,2.0,1.54,2.17,2.46,12.82,1.78,4.86,20.35,0.45,0.99,0.72,2.14,1.6,0.24,6.73,0.16,4.24,1.49,1.11,1.41,2.34,0.31,0.17,0.72,0.11,50.31,49.69,30.98,17.34,17.9,2.75,27.4,3.63,11.42,92.45,3.98,40.86,25.05,1.02,0.59,9.94,54.17,35.89,2026-05
WV,2.75,12.51,0.68,12.1,7.26,3.39,0.0,0.77,0.77,2.03,1.94,3.68,2.71,15.0,1.26,3.0,18.3,0.58,1.26,1.06,2.13,1.36,0.39,7.74,0.1,4.16,1.65,0.77,1.65,3.58,0.19,0.1,0.29,0.1,50.1,49.9,29.86,17.61,15.95,4.86,27.63,4.09,11.92,92.84,4.82,42.34,25.17,0.13,0.25,8.91,50.24,40.85,2026-05
WY,2.72,12.21,0.67,14.17,7.08,2.7,0.0,0.17,1.69,3.54,1.35,2.87,2.7,15.35,1.52,5.4,17.2,0.17,1.01,1.18,2.36,0.84,0.17,7.25,0.17,3.2,0.84,1.01,1.18,2.36,0.34,0.51,0.84,0.17,51.06,48.94,28.81,17.97,15.25,4.41,29.83,3.73,11.57,91.72,4.64,43.84,27.2,0.07,0.43,7.28,53.47,39.26,2026-05
