geo_id,automation,aui,expected,auto_resid,aui_resid,wave,gdp_pwa,coding_share,personal_share,lang_group,agency_ai_alone,hof_pdi,hof_idv,hof_uai,hof_pdi_regional,hof_idv_regional,hof_uai_regional,globe_pdi_practices,globe_participative,hof_pdi_extended,log_gdp,prompt_edu,task_hours,autonomy,work_share,coursework_share,english_share,internet,tertiary
OMN,56.63082437275986,0.2967574400701719,65.97980319962105,1.1859786767689613,-0.5034212943108676,2025-08,27874.66708509641,6.0606060606060606,29.75206611570248,english,,,,,,,,,,,10.235473565555544,11.512396812438965,3.767245292663574,3.443526268005371,45.17906336088154,25.068870523415974,98.3957219251337,95.25174678,42.226921081543
PAK,64.07820611951838,0.2394096958695171,60.76238575574617,10.773243991924431,-0.9406752674944634,2025-08,2515.0984411018367,48.19562641387483,29.347094458155706,english,0.0351123595505618,55.0,14.0,70.0,,,,,,55.0,7.830067223359015,11.476783752441406,3.775440454483032,3.543292999267578,49.43908458604442,21.213820955799864,99.80337078651684,57.253,10.8564126844434
PAN,54.21511627906976,0.9076556588864464,59.02599018451361,1.6223234174178955,-0.3988649406109006,2025-08,29533.717672235955,12.233285917496444,31.57894736842105,english,,95.0,11.0,86.0,,,,,,95.0,10.29328786157298,11.167105674743652,3.2515792846679688,3.4184210300445557,34.473684210526315,33.94736842105263,90.45454545454544,72.77149963,53.6949637061742
PER,52.61774813017991,0.8485933711590928,55.20851926880082,1.5906615539158864,-0.7358963568278859,2025-08,12646.323877661176,22.371541501976285,19.381527193815273,spanish,0.0272314674735249,64.0,16.0,87.0,,,,,,64.0,9.445121849366132,11.879051208496094,3.363028049468994,3.420203447341919,32.808897328088975,47.80957547809576,91.52798789712556,81.95705992,
PHL,51.96177627880832,0.4506373532469348,54.536339723642605,1.2103789643619862,-1.1827971254615564,2025-08,5979.632691012824,31.038275406951165,27.297433316557623,english,0.0192107995846313,94.0,32.0,44.0,,,,5.4415525114155265,5.483333333333333,94.0,8.696114422150659,11.738801956176758,2.961841821670532,3.424358367919922,40.1711122294917,32.53145445395068,99.84423676012462,67.26300914,47.4134996154186
POL,46.23963982400491,1.6075854166559187,53.82327010302571,-4.219297479201096,-0.0777712234446783,2025-08,38209.25361666856,34.39407585309716,40.00442526828189,english,0.0197368421052631,68.0,60.0,93.0,,,,5.101631701631701,5.2768719806763285,68.0,10.550833006533033,12.039711952209473,2.564443588256836,3.382079601287842,48.15798207766346,11.837592654054653,94.4838056680162,88.58496367,80.9149627685547
PRT,48.75217643644806,2.012603970534846,56.8417967656557,-2.944786321997882,0.5470413365340461,2025-08,46013.61009194968,27.66259585345072,38.31845238095239,english,0.0179968701095461,63.0,27.0,104.0,,,,5.440909090909091,5.256329113924051,63.0,10.736692503273996,11.788442611694336,2.845104217529297,3.3968253135681152,46.45337301587302,15.2281746031746,84.19405320813772,88.48704454,77.6778182983398
PRY,59.248120300751886,0.5773283079736656,72.15634580162157,1.2700132420840973,0.2268944968847515,2025-08,9785.666997682889,10.3397341211226,32.22416812609457,spanish,,,,,,,,,,,9.188674042829756,11.7145357131958,3.129964828491211,3.4851138591766357,44.65849387040281,23.117338003502628,78.90625,81.57806793,
PSE,55.14950166112956,0.3828694822211485,69.08017685024927,-1.5669384016603516,-0.1915555579771464,2025-08,,27.035830618892508,31.343283582089555,english,,,,,,,,,,,,12.446096420288086,3.415985107421875,3.5204460620880127,43.28358208955225,25.37313432835821,100.0,86.63765334,44.4904623709098
QAT,53.53319057815846,0.7669330494269564,69.01719190424515,-3.157416694278666,0.1879217606532841,2025-08,93076.97642309398,16.596638655462186,34.18994413407821,english,,,,,,,,4.733168316831683,4.619047619047619,,11.4411821332519,11.78324031829834,3.5875420570373535,3.394413471221924,40.78212290502793,25.027932960893857,99.59183673469389,98.08540344,43.0178909301758
ROU,50.15356265356266,1.040092919159192,59.67116647210275,-2.7038442918543737,-0.2194491717016737,2025-08,31327.812791877608,31.289261142686208,39.06490310673639,english,0.0337186897880539,90.0,30.0,90.0,,,,,,90.0,10.352261569567924,11.84501838684082,2.84195876121521,3.4145140647888184,45.06305752076284,15.872039372500769,95.56840077071293,91.29048551,55.1682891845703
RWA,62.74193548387097,0.2990548253742415,67.67736966418907,6.600845980887897,-0.3775156141100461,2025-08,1702.5314089029812,30.93415007656968,22.633136094674555,english,,,,,,,,,,,7.439871486548342,12.044313430786133,3.738700389862061,3.583456516265869,42.159763313609474,35.20710059171598,97.14285714285714,31.70330048,9.41173924647801
SAU,55.53914327917282,0.4143273937878727,61.60808563621731,1.8873238610739664,-0.704177936376871,2025-08,41985.798549031635,30.994989262705797,35.267857142857146,english,0.0244372990353697,,,,80.0,38.0,68.0,,,80.0,10.64508671030178,11.662627220153809,3.89688491821289,3.453443765640259,43.36734693877551,21.364795918367346,98.77813504823152,100.0,83.884129573915
SEN,59.22693266832918,0.294766119812222,65.39761616050835,4.020866501124786,-0.5478045613454176,2025-08,3054.5670941438534,25.845410628019323,25.794155019059723,french,0.0845070422535211,,,,,,,,,,8.024393157520164,11.72299861907959,3.547865152359009,3.672172784805298,43.07496823379924,31.13087674714104,70.77464788732394,60.11780167,15.3302400879779
SGP,45.306277261520954,4.571735157758412,52.7763093764984,-4.723257165730999,2.810144076809081,2025-08,121453.275988157,26.90232558139535,33.02572157863735,english,0.0154061624649859,74.0,20.0,8.0,,,,4.986363636363638,5.318807339449541,74.0,11.707284908032417,12.829996109008787,3.231816291809082,3.3873183727264404,40.78146475554683,26.192813665815827,99.2296918767507,94.37757178,97.2886546863037
SLV,63.52941176470588,0.399629947052067,63.37981544959199,9.150931013473643,-0.5898668842880299,2025-08,8315.64872508447,16.027088036117384,26.119402985074625,spanish,,66.0,19.0,94.0,,,,5.676923076923076,5.44,66.0,9.0258944072349,11.78544807434082,3.3065671920776367,3.527985095977783,39.365671641791046,34.51492537313433,88.81118881118881,66.47769928,32.8347079463918
SRB,48.73501997336884,1.421558574939597,61.52232048141024,-4.8816235272407695,0.296808255392387,2025-08,21462.94212470453,26.575698505523064,39.468008626887126,english,,86.0,25.0,92.0,,,,,,86.0,9.974083104863308,11.912293434143066,2.5987708568573,3.4004313945770264,52.55212077641984,7.979870596693027,92.7927927927928,87.69071294,70.582649230957
SVK,51.24434389140271,0.9717083986314544,67.44489421176667,-4.8013975958147554,0.2782102600678869,2025-08,39478.157128320294,22.591362126245848,41.36933461909354,english,,104.0,52.0,51.0,,,,,,104.0,10.583502813843964,11.806171417236328,3.1675796508789062,3.3866922855377197,42.333654773384765,16.2970106075217,92.30769230769232,89.82507032,54.4743194580078
SVN,49.913043478260875,1.654879243622467,68.65631414774018,-6.629552562632661,1.0495906425439148,2025-08,53656.97978357421,17.6672384219554,41.90193164933135,english,,71.0,27.0,88.0,,,,5.33320610687023,5.331692913385827,71.0,10.890366838079048,12.049034118652344,2.296255588531494,3.364041566848755,45.61664190193165,12.481426448737,92.20779220779221,90.76355487,80.0806884765625
SWE,46.94098538170006,2.198774555619245,56.385376244899014,-4.568780016528329,0.6999776633409771,2025-08,92702.13665967331,27.708609271523184,42.86064769381747,english,0.0197486535008976,31.0,71.0,29.0,,,,4.851471135940409,5.491433891992551,31.0,11.437146800475732,12.07626247406006,2.481621026992798,3.3575282096862793,44.136408243375854,13.002944062806673,91.74147217235188,95.52930428,83.9988098144531
THA,54.0538274503228,0.9351838778279836,54.25114130219478,3.419402071197723,-0.7190173227251108,2025-08,10509.89704549089,28.51307189542483,33.33333333333333,english,0.0156075808249721,64.0,20.0,64.0,,,,5.627027027027025,5.173814898419865,64.0,9.260072667961063,11.672185897827148,3.376551389694214,3.4800796508789062,48.94782716971734,17.71883949694932,97.26867335562987,90.86718789,44.9845744019321
TUN,60.53493449781659,0.8864614890600662,65.02898175542515,5.480060891811114,0.0170486952643168,2025-08,6506.121121775293,50.84835630965006,23.0,english,0.0478260869565217,,,,,,,,,,8.780498723794418,12.426400184631348,3.496667861938477,3.6284000873565674,39.16,37.84,87.53623188405797,76.5,38.1219482421875
TUR,54.13096996553421,0.6830201869010764,58.64324948032797,1.6951552549798876,-0.6513696753435223,2025-08,22651.310447180294,46.43576705363138,40.695296523517385,english,0.0199769496734537,66.0,37.0,85.0,,,,5.571621621621618,5.377758420441347,66.0,10.027972985625215,11.70427131652832,3.393911838531494,3.455805540084839,42.24039990911157,17.064303567371052,95.38993469074144,87.3078767,105.88606262207
TWN,46.641237550328455,2.2949679537585976,53.10219088845061,-3.521954668383053,0.557105933715897,2025-08,48391.047952063214,30.464876033057852,35.08862724802691,english,0.0148482892188508,58.0,17.0,69.0,,,,5.181944444444445,4.528601694915254,58.0,10.787070115929458,12.493983268737791,3.547492504119873,3.4796221256256104,45.80152671755725,19.10984603441584,92.44673983214976,,
TZA,64.82939632545933,0.0416122668080403,67.35758676659594,8.819463314241595,-0.6582431630042623,2025-08,2148.799090380761,30.864197530864196,35.8433734939759,english,,,,,64.0,27.0,52.0,,,64.0,7.672664402453899,11.57530117034912,3.638132572174072,3.572289228439331,53.01204819277109,11.144578313253012,98.69281045751634,31.16209984,4.01880979537964
UGA,56.44891122278057,0.0858703413470118,67.64822391759395,0.319775623217815,-0.5928223455516252,2025-08,2079.882474647875,27.631578947368425,25.416036308623298,english,,,,,,,,,,,7.640066668525896,12.15885066986084,4.219666957855225,3.6550681591033936,42.36006051437216,32.22390317700454,100.0,8.949831061,
UKR,51.83762111593718,0.9231204363626976,58.424497373520374,-0.5084741033275719,-0.427197859608612,2025-08,7490.372998752378,34.46586082979418,32.224893162393165,english,0.0375699440447641,,,,,,,,,,8.921373874837714,11.623180389404297,2.754094123840332,3.392709255218506,36.01762820512821,31.757478632478637,81.13509192645884,82.47489929,87.1920013427734
URY,57.08556149732619,1.3136128765963584,69.72812451267032,0.1033706927351261,0.7863681426811416,2025-08,36408.30401277872,16.272965879265094,35.714285714285715,spanish,,61.0,36.0,100.0,,,,,,61.0,10.50255215982583,11.948328018188477,3.0361247062683105,3.3966565132141113,41.33738601823708,22.9483282674772,87.01298701298701,91.99109007,79.9536903496537
USA,49.07382312471334,3.6243515142461553,48.46432961971896,0.8128139742005658,1.5487836456483677,2025-08,132531.7570859901,26.10597212974185,40.43061765268305,english,0.0180879587018288,40.0,91.0,46.0,,,,4.88244680851064,5.898824517212426,40.0,11.79457757181136,12.312009811401367,2.6975748538970947,3.24662446975708,41.95448874966991,17.61489359764704,99.59582216175116,94.69380188,79.361930847168
UZB,53.97849462365591,0.0801153601568852,68.45514521615833,-2.481593529801984,-0.5398213558191072,2025-08,5015.875475814878,26.096033402922757,34.26150121065375,english,0.0678466076696165,,,,,,,,,,8.520363256608844,10.476420402526855,3.3076541423797607,3.5392987728118896,28.45036319612591,37.28813559322034,89.97050147492625,89.50550079,56.517478700865
VNM,53.19333397553222,0.5969477865036321,57.533605172167285,1.2126313290098525,-0.8182408213197034,2025-08,6717.646893699442,42.61480787253984,27.567777669808574,english,0.0241518113858539,70.0,20.0,30.0,,,,,,70.0,8.812493207567186,12.207714080810549,3.688037395477295,3.5236568450927734,48.03226119910601,24.399961131085412,91.83438757906845,84.15,37.5923642016718
ZAF,53.10633213859021,0.4576247861071426,53.88000582799242,2.624125114894447,-1.2236006424213348,2025-08,9272.848440503294,25.834627329192543,34.126093785057215,english,0.0410958904109589,49.0,65.0,49.0,,,,5.160439560439557,5.538389513108615,49.0,9.134845886495764,12.068849563598633,3.7138512134552,3.4435973167419434,48.66502131478573,17.208884900157056,99.57191780821918,78.35759735,23.493768799339
ZMB,62.64705882352941,0.1140808763192254,67.95309388976749,6.392883153669487,-0.5424127048523906,2025-08,2182.304943750481,9.749303621169917,27.540106951871657,english,,,,,64.0,27.0,52.0,5.314285714285714,5.125,64.0,7.688136910867753,12.122994422912598,3.868930339813232,3.548128366470337,38.23529411764706,34.22459893048128,100.0,17.10099983,
ZWE,62.42774566473989,0.1535669768365056,66.89890229816241,6.605938554437387,-0.5796875605937244,2025-08,3813.703651493487,20.54054054054054,28.21917808219178,english,,,,,,,,5.666666666666667,5.5,,8.246356082956307,12.441096305847168,3.965233087539673,3.6383562088012695,39.726027397260275,32.054794520547944,100.0,41.64279938,7.74912957845971
